candidate,freq_total,freq_in_seed_docs,precision
ai,18435,5804,0.31483590995389205
data,4261,1646,0.38629429711335367
generative,4215,1410,0.33451957295373663
study,3730,757,0.2029490616621984
intelligence,3182,989,0.3108108108108108
artificial,3137,973,0.3101689512272872
artificial intelligence,3029,939,0.3100033014196104
research,2894,855,0.2954388389771942
learning,2539,971,0.3824340291453328
models,2380,936,0.39327731092436974
education,1895,546,0.28812664907651714
chatgpt,1890,380,0.20105820105820105
generative artificial,1887,543,0.287758346581876
genai,1769,654,0.36970039570378743
generative ai,1710,613,0.3584795321637427
