Nodo,Distancia_Promedio,Caminos_Validos
10024438,0.0,1
10108835,0.0,1
10155107,0.0,1
10165540,0.3067,3
10177684,0.8132,19
10203002,0.0,1
10211804,0.25,2
10213396,0.0,1
10214541,0.0,1
10224780,0.46,4
10226197,0.0,1
10226617,0.44,3
10248283,0.9717,6
10261631,0.8597,29
10271797,1.4633,81
10273208,0.5875,16
10273408,0.245,2
10287345,0.0,1
10308422,1.1229,48
10313167,0.0,1
10319661,0.0,1
10326253,0.0,1
10339738,0.0,1
10339760,0.0,1
10343376,0.5673,11
10343638,0.0,1
10344286,0.0,1
10379487,0.0,1
10391244,0.6913,23
10394624,0.0,1
10395092,0.6574,19
10397917,0.975,6
10398283,0.9788,8
10398319,0.3767,6
10405700,0.0,1
10411754,1.3941,49
10413786,0.0,1
10420820,0.235,2
10422003,0.0,1
10424297,0.984,10
10425564,0.0,1
10427798,0.0,1
10433140,0.25,2
10436771,1.4221,82
10443386,1.0235,17
10444988,0.0,1
10456106,0.0,1
10456172,0.0,1
10459661,0.745,16
10463245,0.696,5
10463265,0.0,1
10467441,0.0,1
10467477,0.3875,12
10467765,0.0,1
10469101,0.0,1
10474169,0.4767,3
10474179,0.235,2
10478883,0.0,1
10479205,0.7529,17
10487038,0.0,1
10487259,0.8382,17
10492675,0.0,1
10492688,0.0,1
10494544,0.13,2
10495995,0.0,1
10499656,0.0,1
10499744,0.0,1
10499754,0.0,1
10500140,0.0,1
10500605,0.9371,7
10500608,0.0,1
10500634,0.0,1
10502065,0.0,1
10504110,0.0,1
10505530,0.0,1
10507034,0.225,2
10510042,0.0,1
10510784,0.0,1
10511242,0.0,1
10517484,0.4967,3
10518103,0.0,1
10520824,0.6025,4
10525933,0.3814,7
10527283,0.0,1
10528244,0.0,1
10531039,0.75,5
10532824,0.0,1
10541846,0.22,2
10543745,0.205,2
10544050,0.0,1
10544998,0.0,1
10546497,0.0,1
10548653,0.9767,6
10549672,0.3233,3
10550620,0.0,1
10551017,0.0,1
10552807,0.0,1
10553643,0.0,1
10555960,0.0,1
10557650,0.6759,17
10557693,0.4233,3
10558738,0.0,1
10560368,0.0,1
10564292,0.0,1
10565699,0.0,1
10565860,0.0,1
10565946,0.0,1
10569253,0.0,1
10569447,0.0,1
10569536,0.0,1
10569779,0.0,1
10570029,0.0,1
10571334,0.2933,3
10577712,0.0,1
10578328,0.33,3
10578567,0.0,1
